point_id,latitude,longitude,Code,ratio_cs_sr,organic_carbon_b0,organic_carbon_b10,clay_fraction_0_30,clay_fraction_30_60,sand_fraction_b0,sand_fraction_b10,bulk_density_b0,bulk_density_b10,soil_pH_b0,soil_pH_b10,elevation_m,slope_deg_final,twi_scaled,cs137_kBq_m2,sr90_kBq_m2,k40_Bq_kg,ra226_Bq_kg,th232_Bq_kg,scenario_name
272,50.94508,29.90914,1525,5.04,4.0,4.0,20.0,21.0,49.0,51.0,129.0,127.0,65.0,65.0,128.0,12.0,5.53,47.0,9.33,117.0,11.0,9.0,baseline
273,50.94423,29.89427,1528,8.23,5.0,4.0,16.0,17.0,49.0,49.0,125.0,124.0,68.0,69.0,140.0,9.4,5.57,57.7,7.01,129.0,11.0,9.0,baseline
274,50.94487,29.8806,1531,3.58,4.0,4.0,17.0,18.0,52.0,52.0,130.0,130.0,64.0,64.0,148.0,8.2,5.93,25.3,7.09,132.0,10.0,9.0,baseline
275,50.943449,29.876318,1566,6.48,3.0,3.0,17.0,19.0,55.0,55.0,131.0,130.0,64.0,64.0,146.0,9.2,5.46,63.8,9.84,40.0,14.0,9.0,baseline
276,50.94224,29.97181,1575,14.5,7.0,6.0,18.0,20.0,51.0,52.0,123.0,124.0,67.0,67.0,111.0,1.6,8.1,65.2,4.5,52.0,8.0,5.0,baseline
277,50.935984,29.481144,1586,30.5,4.0,4.0,19.0,20.0,57.0,57.0,133.0,132.0,63.0,63.0,166.0,5.6,5.97,25.1,0.825,190.0,13.0,11.0,baseline
278,50.935984,29.523983,1589,14.0,4.0,4.0,18.0,20.0,60.0,60.0,136.0,135.0,63.0,63.0,162.0,3.8,6.89,20.7,1.48,220.0,16.0,16.0,baseline
279,50.936001,29.566834,1592,13.8,4.0,4.0,18.0,20.0,64.0,65.0,138.0,137.0,64.0,64.0,160.0,6.3,6.12,17.4,1.26,270.0,16.0,17.0,baseline
280,50.935984,29.609661,1595,16.0,4.0,5.0,13.0,14.0,68.0,68.0,127.0,129.0,62.0,62.0,159.0,14.9,5.15,28.1,1.75,43.0,6.0,4.0,baseline
281,50.93602,29.65263,1599,13.5,6.0,6.0,16.0,18.0,58.0,59.0,122.0,129.0,64.0,64.0,152.0,7.8,6.07,17.2,1.27,46.0,6.0,4.0,baseline
