point_id,latitude,longitude,Code,ratio_cs_sr,organic_carbon_b0,organic_carbon_b10,clay_fraction_0_30,clay_fraction_30_60,sand_fraction_b0,sand_fraction_b10,bulk_density_b0,bulk_density_b10,soil_pH_b0,soil_pH_b10,elevation_m,slope_deg_final,twi_scaled,cs137_kBq_m2,sr90_kBq_m2,k40_Bq_kg,ra226_Bq_kg,th232_Bq_kg,scenario_name
34,51.10683,30.25109,159,3.38,4.0,4.0,15.0,16.0,55.0,54.0,134.0,132.0,62.0,62.0,119.0,4.6,6.45,63.24,15.6,300.0,17.0,15.0,cs137_plus_20
35,51.10669,30.22462,161,3.31,5.0,5.0,16.0,17.0,55.0,54.0,138.0,137.0,68.0,68.0,119.0,7.8,5.56,73.2,18.4,350.0,21.0,20.0,cs137_plus_20
36,51.1069,30.21022,162,4.75,4.0,4.0,16.0,17.0,60.0,59.0,138.0,136.0,59.0,59.0,120.0,4.8,6.79,62.64,11.0,180.0,11.0,9.0,cs137_plus_20
37,51.10735,30.16653,166,2.1,5.0,4.0,14.0,15.0,62.0,62.0,135.0,133.0,62.0,62.0,122.0,7.7,5.68,90.24,35.8,210.0,13.0,13.0,cs137_plus_20
38,51.1073,30.152575,169,1.88,3.0,3.0,15.0,16.0,57.0,57.0,133.0,132.0,62.0,62.0,122.0,20.9,4.71,65.04,28.8,210.0,13.0,10.0,cs137_plus_20
39,51.10651,30.13886,172,1.76,4.0,5.0,15.0,15.0,53.0,53.0,135.0,133.0,62.0,62.0,122.0,13.4,5.29,74.04,35.0,127.0,8.0,7.0,cs137_plus_20
40,51.10657,30.12264,175,2.2,4.0,4.0,15.0,16.0,55.0,55.0,133.0,131.0,64.0,64.0,124.0,9.1,6.47,85.32,32.3,270.0,22.0,18.0,cs137_plus_20
41,51.106865,30.109789,176,4.08,5.0,5.0,16.0,17.0,55.0,55.0,134.0,132.0,68.0,68.0,128.0,7.1,6.27,77.28,15.8,300.0,17.0,16.0,cs137_plus_20
42,51.107079,30.095488,177,2.67,3.0,4.0,16.0,17.0,52.0,52.0,132.0,131.0,62.0,62.0,137.0,3.7,6.2,64.55999999999999,20.1,290.0,20.0,16.0,cs137_plus_20
43,51.106864,30.080875,178,6.35,4.0,4.0,16.0,18.0,54.0,53.0,133.0,132.0,62.0,62.0,134.0,17.5,5.28,68.52,9.0,290.0,16.0,15.0,cs137_plus_20
44,51.10712,29.98087,185,2.11,5.0,5.0,16.0,17.0,63.0,62.0,136.0,137.0,62.0,63.0,129.0,3.8,6.13,58.92,23.3,258.0,9.0,12.0,cs137_plus_20
45,51.10735,29.96643,188,2.33,3.0,3.0,17.0,18.0,62.0,62.0,141.0,139.0,63.0,63.0,124.0,8.8,6.14,58.8,21.0,166.0,15.0,10.0,cs137_plus_20
46,51.107076,29.955287,189,3.43,4.0,4.0,15.0,17.0,65.0,65.0,139.0,137.0,62.0,62.0,125.0,2.2,7.22,42.84,10.4,92.0,10.0,6.0,cs137_plus_20
47,51.10574,29.90955,192,5.31,6.0,7.0,10.0,12.0,73.0,73.0,124.0,128.0,53.0,53.0,145.0,8.9,5.61,43.08,6.75,67.0,9.0,5.0,cs137_plus_20
48,51.10689,29.77648,202,4.21,4.0,4.0,14.0,16.0,58.0,57.0,136.0,135.0,58.0,58.0,128.0,4.7,7.13,15.12,3.0,145.0,10.0,9.0,cs137_plus_20
49,51.10423,29.76188,211,4.39,5.0,4.0,16.0,17.0,65.0,64.0,127.0,126.0,58.0,58.0,129.0,20.0,4.68,12.360000000000001,2.34,108.0,6.0,6.0,cs137_plus_20
50,51.097862,29.738101,233,8.75,5.0,5.0,12.0,13.0,73.0,73.0,117.0,122.0,56.0,56.0,144.0,22.1,4.83,17.76,1.69,30.0,8.0,6.0,cs137_plus_20
51,51.09808,29.76195,236,5.48,4.0,4.0,16.0,18.0,62.0,62.0,135.0,134.0,59.0,59.0,130.0,7.1,5.86,16.32,2.49,147.0,11.0,10.0,cs137_plus_20
52,51.098832,29.779019,238,6.28,4.0,4.0,17.0,19.0,60.0,60.0,138.0,140.0,56.0,56.0,131.0,2.8,6.82,15.839999999999998,2.11,129.0,10.0,8.0,cs137_plus_20
53,51.098953,29.825965,241,8.65,6.0,6.0,12.0,14.0,65.0,65.0,117.0,122.0,56.0,56.0,127.0,21.7,5.26,16.32,1.57,100.0,7.0,6.0,cs137_plus_20
54,51.097862,29.866694,244,13.8,5.0,5.0,11.0,12.0,72.0,72.0,122.0,129.0,55.0,55.0,143.0,15.5,5.17,33.96,2.05,111.0,8.0,7.0,cs137_plus_20
55,51.09713,29.95382,250,1.55,9.0,8.0,12.0,13.0,73.0,74.0,119.0,124.0,50.0,50.0,145.0,24.7,4.49,34.68,18.7,53.0,7.0,5.0,cs137_plus_20
56,51.09827,29.99426,253,4.98,8.0,7.0,11.0,12.0,71.0,71.0,116.0,120.0,53.0,53.0,150.0,7.3,6.63,66.72,11.2,226.0,14.0,13.0,cs137_plus_20
57,51.097862,30.023769,255,2.92,4.0,4.0,16.0,17.0,58.0,58.0,133.0,135.0,60.0,60.0,133.0,10.3,5.65,94.32,26.9,249.0,19.0,15.0,cs137_plus_20
58,51.09832,30.07888,259,14.6,4.0,4.0,16.0,17.0,59.0,59.0,130.0,131.0,57.0,57.0,127.0,8.4,6.07,77.39999999999999,4.42,300.0,19.0,20.0,cs137_plus_20
59,51.09823,30.12301,262,2.65,5.0,5.0,16.0,17.0,50.0,49.0,125.0,124.0,63.0,63.0,126.0,5.3,6.51,69.96,22.0,280.0,18.0,15.0,cs137_plus_20
60,51.09777,30.16727,265,3.8,5.0,5.0,14.0,14.0,63.0,63.0,132.0,132.0,60.0,60.0,121.0,17.0,5.05,72.6,15.9,160.0,12.0,9.0,cs137_plus_20
61,51.09787,30.20979,268,3.18,4.0,4.0,12.0,13.0,70.0,70.0,133.0,138.0,56.0,56.0,119.0,9.5,6.71,53.52,14.0,140.0,13.0,7.0,cs137_plus_20
62,51.09777,30.22431,269,2.88,3.0,3.0,16.0,16.0,57.0,57.0,139.0,137.0,62.0,62.0,119.0,0.9,8.24,44.04,12.7,210.0,14.0,12.0,cs137_plus_20
63,51.098,30.25237,271,2.94,3.0,3.0,13.0,14.0,61.0,61.0,137.0,136.0,61.0,61.0,116.0,14.4,5.72,51.72,14.6,180.0,25.0,11.0,cs137_plus_20
64,51.09788,30.26656,272,3.98,3.0,3.0,16.0,17.0,55.0,55.0,137.0,136.0,62.0,62.0,116.0,1.2,8.33,56.04,11.7,260.0,19.0,17.0,cs137_plus_20
65,51.0983,30.29691,274,4.22,5.0,4.0,16.0,17.0,56.0,56.0,125.0,124.0,60.0,61.0,119.0,2.3,7.12,82.91999999999999,16.4,170.0,14.0,9.0,cs137_plus_20
66,51.09198,29.75775,279,5.12,7.0,7.0,15.0,16.0,65.0,65.0,121.0,121.0,58.0,58.0,129.0,11.0,5.8,16.8,2.74,96.0,8.0,6.0,cs137_plus_20
67,51.09238,30.03711,282,2.99,5.0,5.0,17.0,19.0,54.0,54.0,134.0,133.0,64.0,64.0,129.0,4.9,6.31,73.92,20.6,246.0,19.0,14.0,cs137_plus_20
68,51.09123,30.05345,285,6.5,5.0,5.0,14.0,15.0,65.0,65.0,130.0,130.0,58.0,58.0,131.0,19.5,4.81,53.64,6.88,116.0,8.0,7.0,cs137_plus_20
69,51.08926,30.33778,288,2.33,3.0,3.0,15.0,15.0,67.0,67.0,124.0,123.0,59.0,59.0,113.0,8.7,5.67,58.199999999999996,20.8,190.0,15.0,11.0,cs137_plus_20
70,51.08871,30.30723,290,3.48,3.0,3.0,16.0,16.0,58.0,58.0,135.0,140.0,70.0,70.0,115.0,3.3,6.4,52.440000000000005,12.6,100.0,6.0,6.0,cs137_plus_20
71,51.08875,30.2943,291,3.56,4.0,4.0,17.0,18.0,57.0,57.0,139.0,141.0,68.0,69.0,116.0,1.4,7.09,40.68,9.52,99.0,8.5,5.0,cs137_plus_20
72,51.08902,30.28173,292,3.59,3.0,3.0,17.0,18.0,55.0,55.0,139.0,137.0,68.0,68.0,116.0,0.4,8.75,45.0,10.5,131.0,10.0,7.0,cs137_plus_20
73,51.08904,30.25095,294,5.16,6.0,6.0,11.0,12.0,53.0,53.0,123.0,129.0,54.0,54.0,121.0,19.7,4.75,68.64,11.1,131.0,11.0,7.0,cs137_plus_20
74,51.08882,30.22364,296,3.06,4.0,4.0,15.0,16.0,60.0,60.0,128.0,127.0,60.0,60.0,117.0,3.3,6.84,63.72,17.3,290.0,20.0,16.0,cs137_plus_20
75,51.08949,30.0375,311,1.72,4.0,3.0,16.0,17.0,58.0,57.0,131.0,131.0,61.0,61.0,127.0,8.3,5.86,65.52,31.7,230.0,14.0,15.0,cs137_plus_20
76,51.08838,30.02322,314,2.24,4.0,4.0,16.0,18.0,57.0,57.0,134.0,135.0,64.0,64.0,125.0,6.4,6.64,65.64,24.4,290.0,24.0,21.0,cs137_plus_20
77,51.089414,30.009772,316,3.45,3.0,4.0,15.0,17.0,55.0,55.0,135.0,136.0,59.0,59.0,127.0,8.9,6.15,59.279999999999994,14.3,220.0,16.0,11.0,cs137_plus_20
78,51.08329,29.90467,340,2.72,5.0,4.0,14.0,15.0,57.0,56.0,127.0,127.0,58.0,58.0,132.0,5.3,5.82,33.36,10.2,133.0,12.0,8.0,cs137_plus_20
79,51.081516,29.99411,362,3.34,4.0,4.0,15.0,17.0,60.0,59.0,131.0,130.0,59.0,59.0,123.0,8.9,5.84,63.12,15.8,130.0,18.0,7.0,cs137_plus_20
80,51.079876,30.237963,379,2.72,4.0,4.0,15.0,17.0,48.0,48.0,131.0,129.0,64.0,64.0,114.0,3.2,7.21,86.52,26.5,360.0,23.0,22.0,cs137_plus_20
81,51.079876,30.252243,380,2.63,4.0,3.0,16.0,17.0,44.0,44.0,134.0,132.0,64.0,64.0,115.0,6.8,6.1,61.44,19.5,360.0,21.0,22.0,cs137_plus_20
82,51.07945,30.28069,382,2.44,3.0,3.0,17.0,18.0,52.0,51.0,138.0,139.0,64.0,64.0,113.0,7.6,5.58,72.0,24.6,340.0,24.0,22.0,cs137_plus_20
83,51.07985,30.29523,383,3.28,4.0,4.0,16.0,17.0,52.0,52.0,138.0,139.0,64.0,64.0,113.0,6.0,5.92,51.84,13.2,245.0,17.0,18.0,cs137_plus_20
84,51.079876,30.309361,384,8.3,4.0,4.0,17.0,18.0,58.0,58.0,133.0,138.0,65.0,65.0,111.0,10.2,5.49,47.879999999999995,4.8,90.0,7.0,5.0,cs137_plus_20
85,51.07903,30.33656,386,3.11,4.0,4.0,14.0,15.0,66.0,67.0,130.0,131.0,59.0,59.0,113.0,6.0,6.25,55.08,14.8,110.0,10.0,6.0,cs137_plus_20
86,51.0802,30.3521,389,2.92,4.0,4.0,16.0,17.0,60.0,60.0,131.0,133.0,61.0,61.0,111.0,5.8,6.13,15.0,4.27,150.0,14.0,20.0,cs137_plus_20
87,51.07991,30.38073,392,2.28,3.0,4.0,15.0,16.0,61.0,61.0,129.0,132.0,63.0,63.0,109.0,3.1,6.34,63.599999999999994,23.2,182.0,12.0,10.0,cs137_plus_20
88,51.07956,30.39463,394,2.39,4.0,4.0,16.0,17.0,55.0,54.0,127.0,128.0,62.0,62.0,104.0,10.1,6.09,62.279999999999994,21.7,195.0,17.0,12.0,cs137_plus_20
89,51.07692,29.99038,406,1.92,4.0,4.0,15.0,17.0,58.0,58.0,135.0,134.0,59.0,59.0,126.0,17.2,4.58,99.71999999999998,43.3,150.0,11.0,9.0,cs137_plus_20
90,51.07718,29.90931,413,2.39,4.0,4.0,16.0,18.0,59.0,59.0,134.0,134.0,58.0,58.0,132.0,7.4,5.77,50.64,17.7,78.0,6.0,6.0,cs137_plus_20
91,51.07401,29.9243,418,2.92,4.0,4.0,13.0,15.0,58.0,58.0,132.0,132.0,61.0,61.0,131.0,8.2,6.15,32.76,9.36,119.0,11.0,7.0,cs137_plus_20
92,51.07378,29.96635,419,2.45,5.0,5.0,17.0,18.0,48.0,48.0,135.0,134.0,67.0,67.0,126.0,2.6,6.74,47.879999999999995,16.3,270.0,19.0,20.0,cs137_plus_20
93,51.07352,29.98019,422,2.76,3.0,4.0,17.0,18.0,57.0,57.0,135.0,135.0,64.0,64.0,126.0,12.4,5.55,49.8,15.0,190.0,13.0,13.0,cs137_plus_20
94,51.070883,30.380797,438,2.46,4.0,5.0,16.0,16.0,55.0,55.0,130.0,132.0,68.0,68.0,109.0,3.6,6.36,34.68,11.7,170.0,13.0,11.0,cs137_plus_20
95,51.07149,30.35115,440,2.74,7.0,7.0,15.0,16.0,57.0,57.0,125.0,125.0,60.0,60.0,110.0,9.6,5.29,61.199999999999996,18.6,140.0,9.0,83.0,cs137_plus_20
96,51.0716,30.29536,444,1.64,3.0,3.0,16.0,17.0,49.0,49.0,135.0,134.0,64.0,64.0,105.0,15.1,5.53,87.84,44.5,100.0,20.0,7.0,cs137_plus_20
97,51.07112,30.28154,445,2.62,4.0,4.0,16.0,17.0,49.0,49.0,134.0,135.0,63.0,63.0,107.0,10.1,5.44,95.39999999999999,30.3,310.0,25.0,19.0,cs137_plus_20
98,51.07061,30.2655,448,2.54,3.0,4.0,15.0,16.0,51.0,50.0,136.0,137.0,62.0,62.0,112.0,4.4,6.74,73.32,24.1,400.0,26.0,25.0,cs137_plus_20
99,51.07076,30.25218,451,2.88,3.0,2.0,15.0,16.0,48.0,47.0,134.0,132.0,64.0,64.0,115.0,4.9,6.33,83.64,24.3,390.0,25.0,23.0,cs137_plus_20
100,51.07117,30.23779,452,3.13,3.0,3.0,16.0,17.0,53.0,53.0,134.0,136.0,65.0,65.0,114.0,5.3,5.91,74.16,19.7,365.0,25.0,20.0,cs137_plus_20
101,51.070892,30.209384,454,2.87,4.0,4.0,12.0,13.0,71.0,72.0,131.0,130.0,58.0,58.0,117.0,15.9,5.13,41.16,11.9,80.0,8.0,6.0,cs137_plus_20
102,51.07092,30.19519,455,23.2,5.0,5.0,12.0,13.0,71.0,71.0,125.0,127.0,57.0,57.0,118.0,22.8,4.76,80.04,2.88,120.0,9.0,7.0,cs137_plus_20
103,51.07084,30.1686,457,3.92,4.0,4.0,14.0,15.0,64.0,64.0,134.0,134.0,62.0,62.0,120.0,6.8,6.02,110.64,23.5,90.0,7.0,7.0,cs137_plus_20
104,51.07126,30.12382,460,8.3,6.0,7.0,11.0,12.0,73.0,74.0,129.0,129.0,55.0,55.0,136.0,22.7,4.48,101.64,10.2,83.0,9.0,4.5,cs137_plus_20
105,51.06958,30.08226,463,8.24,4.0,4.0,11.0,13.0,75.0,75.0,130.0,131.0,57.0,57.0,139.0,20.5,4.67,62.75999999999999,6.35,77.0,6.0,4.0,cs137_plus_20
106,51.07047,30.039138,466,22.3,3.0,4.0,15.0,16.0,68.0,67.0,126.0,126.0,60.0,60.0,120.0,3.2,7.01,61.67999999999999,2.3,80.0,7.0,5.0,cs137_plus_20
107,51.07107,29.99345,469,4.81,5.0,4.0,17.0,18.0,55.0,55.0,135.0,134.0,63.0,63.0,124.0,2.5,7.51,75.24,13.0,140.0,10.0,10.0,cs137_plus_20
108,51.071267,29.953709,472,3.4,4.0,4.0,17.0,19.0,52.0,52.0,134.0,133.0,67.0,66.0,127.0,7.2,6.29,56.879999999999995,13.9,220.0,12.0,9.0,cs137_plus_20
109,51.07154,29.90879,475,4.37,5.0,5.0,14.0,16.0,57.0,56.0,133.0,133.0,59.0,59.0,132.0,5.9,6.5,32.4,6.18,118.0,12.0,6.0,cs137_plus_20
110,51.069372,29.866127,479,9.13,5.0,6.0,14.0,15.0,70.0,70.0,131.0,131.0,56.0,56.0,144.0,14.0,5.85,41.04,3.74,35.0,13.0,12.0,cs137_plus_20
111,51.06997,29.82462,482,3.44,4.0,4.0,17.0,19.0,55.0,56.0,139.0,138.0,63.0,63.0,134.0,4.9,7.06,21.24,5.15,142.0,8.0,9.0,cs137_plus_20
112,51.07151,29.78159,487,9.71,5.0,5.0,11.0,12.0,67.0,67.0,123.0,127.0,51.0,51.0,158.0,17.2,4.79,20.639999999999997,1.77,65.0,4.0,4.0,cs137_plus_20
113,51.067894,29.804816,491,4.76,4.0,4.0,17.0,19.0,57.0,57.0,134.0,134.0,60.0,60.0,136.0,3.7,6.38,17.88,3.13,149.0,13.0,12.0,cs137_plus_20
114,51.067894,29.819094,494,3.02,4.0,4.0,16.0,18.0,58.0,58.0,139.0,139.0,60.0,60.0,136.0,4.7,6.85,20.88,5.77,121.0,9.0,7.0,cs137_plus_20
115,51.06536,30.26233,512,2.08,3.0,4.0,14.0,15.0,55.0,55.0,134.0,136.0,62.0,62.0,110.0,25.2,5.36,60.0,24.1,300.0,24.0,19.0,cs137_plus_20
116,51.06477,30.24661,515,3.4,5.0,4.0,16.0,17.0,57.0,57.0,137.0,135.0,63.0,63.0,114.0,11.4,5.55,56.16,13.8,215.0,20.0,15.0,cs137_plus_20
117,51.064896,30.047557,521,4.46,3.0,3.0,16.0,17.0,66.0,66.0,130.0,129.0,63.0,63.0,121.0,5.6,6.32,65.75999999999999,12.3,76.0,9.0,5.0,cs137_plus_20
118,51.061889,30.123726,558,5.11,4.0,4.0,14.0,15.0,68.0,68.0,133.0,131.0,65.0,65.0,120.0,7.0,6.06,162.0,26.5,123.0,11.0,7.0,cs137_plus_20
119,51.061004,30.195435,563,2.36,4.0,4.0,16.0,18.0,56.0,56.0,136.0,135.0,66.0,66.0,117.0,4.7,6.37,69.36,24.5,370.0,25.0,22.0,cs137_plus_20
120,51.061738,30.199676,564,2.34,3.0,3.0,16.0,17.0,59.0,58.0,137.0,135.0,63.0,63.0,116.0,9.0,5.94,62.519999999999996,22.2,400.0,26.0,25.0,cs137_plus_20
121,51.05862,29.71945,580,11.3,4.0,5.0,14.0,16.0,65.0,65.0,136.0,135.0,57.0,57.0,143.0,38.1,4.78,12.96,0.95,106.0,9.0,6.0,cs137_plus_20
122,51.0527,30.26792,595,9.66,4.0,5.0,13.0,14.0,66.0,66.0,133.0,133.0,59.0,59.0,115.0,7.6,6.46,54.24,4.68,60.0,7.0,4.0,cs137_plus_20
123,51.05272,30.20061,600,2.79,4.0,5.0,16.0,16.0,55.0,53.0,137.0,136.0,62.0,62.0,108.0,10.0,6.43,57.0,17.0,280.0,17.0,14.0,cs137_plus_20
124,51.05289,30.13888,605,5.09,4.0,4.0,16.0,17.0,63.0,62.0,133.0,132.0,63.0,63.0,121.0,5.7,6.11,170.4,27.8,75.0,6.0,6.0,cs137_plus_20
125,51.05303,30.12438,608,4.22,3.0,3.0,15.0,16.0,63.0,63.0,138.0,137.0,64.0,64.0,116.0,3.2,6.86,62.64,12.4,110.0,11.0,11.0,cs137_plus_20
126,51.05195,29.78041,633,5.72,4.0,4.0,16.0,18.0,59.0,59.0,137.0,136.0,61.0,61.0,143.0,6.4,6.13,20.76,3.02,164.0,13.0,11.0,cs137_plus_20
127,51.05307,29.76716,636,6.15,5.0,4.0,15.0,17.0,56.0,56.0,135.0,136.0,60.0,60.0,144.0,4.8,6.44,17.52,2.37,340.0,22.0,23.0,cs137_plus_20
128,51.05312,29.75195,639,3.25,4.0,4.0,17.0,19.0,59.0,59.0,133.0,132.0,60.0,60.0,145.0,3.0,6.63,16.68,4.27,244.0,19.0,17.0,cs137_plus_20
129,51.05297,29.73811,642,8.1,5.0,5.0,16.0,18.0,60.0,60.0,135.0,135.0,59.0,59.0,147.0,6.8,5.79,20.279999999999998,2.08,176.0,14.0,11.0,cs137_plus_20
130,51.04988,29.79071,651,13.3,4.0,3.0,17.0,18.0,58.0,58.0,143.0,142.0,61.0,61.0,143.0,11.6,5.0,25.92,1.63,284.0,20.0,20.0,cs137_plus_20
131,51.04561,30.19134,661,1.65,4.0,4.0,15.0,16.0,48.0,48.0,138.0,136.0,63.0,63.0,120.0,29.9,4.83,63.599999999999994,32.1,215.0,14.0,13.0,cs137_plus_20
132,51.04714,30.14791,664,2.3,4.0,3.0,14.0,15.0,60.0,59.0,131.0,130.0,63.0,63.0,121.0,5.5,6.25,93.11999999999999,33.7,80.0,8.0,5.0,cs137_plus_20
133,51.046912,30.133231,667,3.73,4.0,4.0,15.0,16.0,56.0,56.0,134.0,135.0,64.0,64.0,113.0,3.3,6.8,124.8,27.9,180.0,16.0,12.0,cs137_plus_20
134,51.04704,30.1141,671,12.4,3.0,4.0,13.0,14.0,72.0,72.0,120.0,125.0,58.0,58.0,117.0,12.3,5.46,34.08,2.29,90.0,8.0,6.0,cs137_plus_20
135,51.04676,29.77086,676,5.17,3.0,4.0,17.0,18.0,56.0,55.0,137.0,136.0,60.0,60.0,152.0,9.6,5.4,18.48,2.98,234.0,13.0,15.0,cs137_plus_20
