Code,latitude,longitude,target_dose_rate,target_dose_rate_0_1m,organic_carbon_b0,organic_carbon_b10,clay_fraction_0_30,clay_fraction_30_60,sand_fraction_b0,sand_fraction_b10,bulk_density_b0,bulk_density_b10,soil_pH_b0,soil_pH_b10,elevation_m,slope_deg_final,twi_scaled
59,51.124842,29.838134,0.11,0.12,5.0,5.0,15.0,17.0,56.0,56.0,136.0,134.0,63.0,63.0,120.0,3.4,7.63
60,51.124848,29.828614,0.11,0.12,4.0,4.0,17.0,19.0,59.0,59.0,137.0,135.0,61.0,61.0,127.0,13.0,5.25
61,51.12458,29.82432,0.12,0.12,4.0,4.0,16.0,18.0,57.0,57.0,139.0,138.0,60.0,61.0,129.0,6.6,6.09
62,51.12767,29.83336,0.11,0.12,4.0,4.0,15.0,17.0,57.0,57.0,133.0,132.0,59.0,59.0,126.0,16.2,5.21
63,51.124842,29.809575,0.1,0.11,4.0,4.0,15.0,17.0,59.0,59.0,138.0,137.0,62.0,62.0,128.0,3.3,6.49
64,51.124842,29.709618,0.09,0.1,7.0,7.0,10.0,12.0,59.0,59.0,122.0,127.0,59.0,59.0,145.0,34.1,4.45
65,51.121852,29.819094,0.13,0.13,3.0,4.0,16.0,17.0,64.0,64.0,140.0,138.0,59.0,59.0,124.0,11.0,5.42
66,51.121852,29.852412,0.1,0.1,4.0,4.0,16.0,18.0,58.0,59.0,134.0,133.0,64.0,64.0,123.0,10.8,5.78
67,51.121852,29.857172,0.1,0.1,4.0,4.0,17.0,18.0,60.0,59.0,133.0,133.0,63.0,63.0,122.0,12.0,5.45
68,51.12198,29.86163,0.1,0.11,4.0,4.0,17.0,18.0,55.0,55.0,134.0,132.0,65.0,65.0,121.0,9.6,5.47
69,51.121852,30.019,0.13,0.13,5.0,5.0,16.0,17.0,56.0,56.0,133.0,132.0,64.0,64.0,119.0,2.9,6.48
70,51.118854,30.023759,0.13,0.15,5.0,4.0,15.0,16.0,51.0,51.0,131.0,130.0,66.0,66.0,116.0,2.4,7.96
71,51.118854,30.019,0.13,0.17,5.0,5.0,15.0,16.0,58.0,58.0,131.0,131.0,65.0,65.0,117.0,4.0,6.4
72,51.11909,30.01489,0.13,0.17,7.0,7.0,13.0,14.0,61.0,61.0,123.0,123.0,60.0,60.0,120.0,5.7,6.72
73,51.118854,29.86669,0.1,0.12,4.0,4.0,15.0,18.0,56.0,56.0,134.0,133.0,63.0,63.0,126.0,15.9,4.99
74,51.118854,29.861932,0.11,0.11,4.0,4.0,16.0,18.0,55.0,55.0,135.0,133.0,64.0,64.0,124.0,5.2,6.33
75,51.118854,29.857172,0.11,0.12,4.0,4.0,15.0,17.0,57.0,57.0,134.0,133.0,64.0,64.0,126.0,5.7,5.89
76,51.11882,29.85284,0.11,0.13,3.0,3.0,17.0,19.0,60.0,60.0,134.0,132.0,63.0,63.0,129.0,8.5,5.89
77,51.115856,29.695343,0.09,0.1,4.0,4.0,14.0,15.0,68.0,66.0,124.0,125.0,61.0,61.0,136.0,9.9,6.13
78,51.115849,29.709618,0.1,0.11,5.0,5.0,13.0,15.0,67.0,66.0,128.0,130.0,63.0,63.0,134.0,5.3,7.02
79,51.115849,29.723898,0.1,0.11,4.0,4.0,14.0,16.0,72.0,72.0,135.0,136.0,62.0,61.0,130.0,45.0,4.52
80,51.115856,29.728661,0.1,0.11,4.0,4.0,14.0,15.0,75.0,76.0,135.0,134.0,60.0,60.0,132.0,3.2,6.68
81,51.115856,29.733421,0.09,0.1,4.0,4.0,14.0,15.0,76.0,76.0,131.0,130.0,62.0,62.0,137.0,16.5,4.9
82,51.115856,29.738181,0.11,0.11,6.0,5.0,12.0,13.0,70.0,70.0,126.0,131.0,61.0,61.0,149.0,25.2,4.27
83,51.115849,29.752457,0.1,0.1,4.0,4.0,11.0,13.0,73.0,74.0,132.0,134.0,62.0,62.0,126.0,8.1,6.02
84,51.115913,29.765125,0.1,0.11,5.0,5.0,10.0,12.0,76.0,76.0,121.0,127.0,53.0,53.0,141.0,18.3,4.9
85,51.115849,29.781016,0.09,0.09,7.0,6.0,14.0,16.0,65.0,64.0,123.0,124.0,57.0,57.0,122.0,0.6,8.65
86,51.115849,29.795296,0.09,0.1,4.0,4.0,14.0,15.0,64.0,63.0,139.0,138.0,55.0,55.0,121.0,3.8,6.57
87,51.116323,29.809426,0.1,0.11,5.0,5.0,14.0,16.0,62.0,61.0,134.0,134.0,61.0,61.0,122.0,8.4,5.91
88,51.115856,29.823854,0.11,0.11,4.0,5.0,11.0,13.0,72.0,73.0,137.0,138.0,59.0,59.0,129.0,40.3,4.1
89,51.11474,29.837746,0.11,0.12,6.0,7.0,10.0,12.0,70.0,70.0,120.0,124.0,55.0,55.0,143.0,24.0,4.76
90,51.115849,29.852414,0.11,0.13,3.0,3.0,17.0,19.0,58.0,58.0,133.0,132.0,63.0,63.0,128.0,3.1,6.57
91,51.116264,29.862701,0.12,0.13,5.0,5.0,15.0,18.0,55.0,55.0,136.0,133.0,63.0,63.0,124.0,5.3,6.83
92,51.11565,29.8666,0.12,0.14,4.0,4.0,15.0,17.0,55.0,55.0,137.0,135.0,64.0,64.0,124.0,2.6,6.53
93,51.115854,29.872234,0.1,0.12,3.0,4.0,16.0,18.0,55.0,54.0,135.0,133.0,63.0,63.0,125.0,5.0,6.66
94,51.115856,29.87621,0.09,0.1,3.0,4.0,16.0,18.0,55.0,55.0,133.0,132.0,63.0,63.0,127.0,10.3,5.75
95,51.11545,29.88094,0.09,0.1,5.0,5.0,15.0,17.0,57.0,57.0,133.0,131.0,63.0,63.0,128.0,6.8,5.93
96,51.115849,29.895253,0.12,0.12,5.0,5.0,11.0,13.0,61.0,61.0,131.0,131.0,63.0,63.0,128.0,18.7,5.13
